tool,command,description,category,use_case,flags,os,reference_link,supported_languages
sqlmap,sqlmap -u http://example.com --method PUT,Test for SQL injection with PUT requests.,Web Application,SQL injection testing,"[""-u"",""--method""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar --extender plugin.jar,Load a custom extension in Burp Suite.,Web Application,Custom extension usage,"[""--extender""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com -mutate 1,Mutate scan inputs for additional testing.,Web Application,Web server scanning,"[""-h"",""-mutate""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -p proxy:8080,Brute-force directories through a proxy.,Web Application,Directory enumeration,"[""-p""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --random-agent,Scan WordPress site with a random user agent.,Web Application,WordPress vulnerability scanning,"[""--url"",""--random-agent""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,gobuster dir -u http://example.com -w wordlist.txt -o output.txt,Brute-force directories and save results to a file.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w"",""-o""]",Linux,https://github.com/OJ/gobuster,
whatweb,whatweb --no-errors http://example.com,Scan website technologies and suppress error messages.,Web Application,Web reconnaissance,"[""--no-errors""]",Linux,https://www.morningstarsecurity.com/research/whatweb,
sqlmap,sqlmap -u http://example.com --tor,Test for SQL injection using Tor for anonymity.,Web Application,SQL injection testing,"[""-u"",""--tor""]",Linux,http://sqlmap.org/,
burpsuite,java -jar burpsuite.jar --target-scope http://example.com,Set a target scope for Burp Suite testing.,Web Application,Scoped testing,"[""--target-scope""]",Linux,https://portswigger.net/burp/documentation,
nikto,nikto -h http://example.com -evasion 1,Use evasion techniques to bypass IDS/IPS during scanning.,Web Application,Web server scanning,"[""-h"",""-evasion""]",Linux,https://cirt.net/Nikto2,
dirb,dirb http://example.com -H 'User-Agent: Mozilla',Brute-force directories with a custom user agent.,Web Application,Directory enumeration,"[""-H""]",Linux,https://www.kali.org/tools/dirb/,
wpscan,wpscan --url http://example.com --enumerate at,Enumerate all WordPress themes.,Web Application,WordPress theme scanning,"[""--url"",""--enumerate""]",Linux,https://wpscan.com/wordpress-security-scanner,
gobuster,"gobuster dir -u http://example.com -w wordlist.txt -s 200,301",Brute-force directories and filter by status codes.,Web Application,Directory enumeration,"[""dir"",""-u"",""-w"",""-s""]",Linux,https://github.com/OJ/gobuster,
hydra,hydra -l admin -P passwords.txt http-post-form '/admin:username=^USER^&password=^PASS^:Invalid',Brute-force admin panel login form.,Web Application,Web form brute-forcing,"[""-l"",""-P""]",Linux,https://www.kali.org/tools/hydra/,
sqlmap,sqlmap -u http://example.com --delay 2,Test for SQL injection with a 2-second delay between requests.,Web Application,SQL injection testing,"[""-u"",""--delay""]",Linux,http://sqlmap.org/,
setoolkit,setoolkit,Launch the Social Engineering Toolkit for various attack vectors.,Social Engineering,Social engineering attack setup,[],Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 2,Set up a website attack vector for credential harvesting.,Social Engineering,Phishing attack,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 1,Configure a spear-phishing attack with malicious email.,Social Engineering,Spear-phishing,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 3,Create a QR code for phishing attack redirection.,Social Engineering,QR code phishing,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 4,Generate infectious media for autorun attacks.,Social Engineering,Infectious media attack,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 5,Set up a mass mailer for phishing campaigns.,Social Engineering,Mass phishing,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 2 -a 1,Launch a Microsoft SQL brute-force attack.,Social Engineering,Database brute-forcing,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego,Launch Maltego for OSINT and relationship mapping.,Social Engineering,Open-source intelligence,[],Linux,https://www.maltego.com/,
maltego,maltego --casefile target.case,Open a specific Maltego case file for analysis.,Social Engineering,OSINT analysis,"[""--casefile""]",Linux,https://www.maltego.com/,
maltego,maltego --transform person_to_email,Run a transform to map person to email addresses.,Social Engineering,Email reconnaissance,"[""--transform""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0,Launch Wifiphisher to perform Wi-Fi phishing attacks.,Social Engineering,Wi-Fi credential harvesting,"[""-i""]",Linux,https://wifiphisher.org/,
wifiphisher,wifiphisher -i wlan0 -a evil_twin,Set up an evil twin AP for phishing.,Social Engineering,Wi-Fi phishing,"[""-i"",""-a""]",Linux,https://wifiphisher.org/,
wifiphisher,wifiphisher -i wlan0 --essid FreeWiFi,Create a rogue AP with a custom ESSID.,Social Engineering,Wi-Fi phishing,"[""-i"",""--essid""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole,Launch Metasploit Framework for social engineering exploits.,Social Engineering,Exploit framework,[],Linux,https://www.metasploit.com/,
metasploit,msfconsole -x 'use auxiliary/server/browser_autopwn',Set up a browser autopwn server for client-side attacks.,Social Engineering,Browser exploitation,"[""-x""]",Linux,https://www.metasploit.com/,
metasploit,msfconsole -x 'use auxiliary/server/capture/http',Capture HTTP credentials via a fake login page.,Social Engineering,Credential harvesting,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -i,Run CUPP interactively to generate targeted wordlists.,Social Engineering,Password profiling,"[""-i""]",Linux,https://github.com/Mebus/cupp,
cupp,cupp -w target.txt,Generate a wordlist from a target profile file.,Social Engineering,Password profiling,"[""-w""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 2 -o google,Clone Google login page for credential harvesting.,Social Engineering,Phishing attack,"[""-t"",""-a"",""-o""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 1 -e template1,Send a spear-phishing email with a custom template.,Social Engineering,Spear-phishing,"[""-t"",""-a"",""-e""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --export graph.xml,Export Maltego graph to XML for further analysis.,Social Engineering,OSINT analysis,"[""--export""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --nojamming,Run Wifiphisher without jamming nearby networks.,Social Engineering,Wi-Fi phishing,"[""-i"",""--nojamming""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use exploit/windows/browser/ms10_046_shortcut_icon_dllloader',Exploit Windows shortcut vulnerability for social engineering.,Social Engineering,Client-side attack,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -a,Generate wordlists using all available profiles.,Social Engineering,Password profiling,"[""-a""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 3 -o qrcode.png,Generate a QR code linking to a phishing page.,Social Engineering,QR code phishing,"[""-t"",""-a"",""-o""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 4 -p meterpreter,Create infectious media with a Meterpreter payload.,Social Engineering,Infectious media attack,"[""-t"",""-a"",""-p""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --transform domain_to_ip,Map domains to IP addresses for reconnaissance.,Social Engineering,Network reconnaissance,"[""--transform""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --template oauth,Use OAuth phishing template for Wi-Fi attacks.,Social Engineering,Wi-Fi phishing,"[""-i"",""--template""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use auxiliary/server/phish_email',Send phishing emails via Metasploit.,Social Engineering,Phishing attack,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -l,List available profiles for wordlist generation.,Social Engineering,Password profiling,"[""-l""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 5 -f emails.txt,Send mass phishing emails from a file.,Social Engineering,Mass phishing,"[""-t"",""-a"",""-f""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 2 -a 2,Perform a wireless access point attack.,Social Engineering,Wireless attack,"[""-t"",""-a""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --import entities.csv,Import entities from a CSV file into Maltego.,Social Engineering,OSINT analysis,"[""--import""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --captive-portal,Use a captive portal for Wi-Fi phishing.,Social Engineering,Wi-Fi phishing,"[""-i"",""--captive-portal""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use auxiliary/server/fake_dns',Set up a fake DNS server for phishing.,Social Engineering,DNS spoofing,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -q,Run CUPP in quiet mode for minimal output.,Social Engineering,Password profiling,"[""-q""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 2 -p facebook,Clone Facebook login page for credential harvesting.,Social Engineering,Phishing attack,"[""-t"",""-a"",""-p""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 1 -s gmail,Send spear-phishing email spoofing Gmail.,Social Engineering,Spear-phishing,"[""-t"",""-a"",""-s""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --run-transform email_to_person,Map email addresses to person entities.,Social Engineering,Email reconnaissance,"[""--run-transform""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --logging,Enable logging for Wifiphisher attacks.,Social Engineering,Wi-Fi phishing,"[""-i"",""--logging""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use exploit/multi/handler',Set up a handler for social engineering payloads.,Social Engineering,Payload handling,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -o wordlist.txt,Save generated wordlist to a specified file.,Social Engineering,Password profiling,"[""-o""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 3 -u http://evil.com,Generate QR code linking to a malicious URL.,Social Engineering,QR code phishing,"[""-t"",""-a"",""-u""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 4 -f payload.exe,Create infectious media with a custom executable.,Social Engineering,Infectious media attack,"[""-t"",""-a"",""-f""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --graph new,Start a new Maltego graph for OSINT.,Social Engineering,OSINT analysis,"[""--graph""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --force-hostname,Force hostname resolution for phishing.,Social Engineering,Wi-Fi phishing,"[""-i"",""--force-hostname""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use auxiliary/server/smb_capture',Capture SMB credentials via a fake server.,Social Engineering,Credential harvesting,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -v,Run CUPP with verbose output for debugging.,Social Engineering,Password profiling,"[""-v""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 2 -i 192.168.1.100,Set up credential harvesting on a specific IP.,Social Engineering,Phishing attack,"[""-t"",""-a"",""-i""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 5 -p priority,Send mass phishing emails with high priority.,Social Engineering,Mass phishing,"[""-t"",""-a"",""-p""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --transform social_to_phone,Map social profiles to phone numbers.,Social Engineering,Social reconnaissance,"[""--transform""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --noextensions,Run Wifiphisher without browser extensions.,Social Engineering,Wi-Fi phishing,"[""-i"",""--noextensions""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use auxiliary/server/ftp',Set up a fake FTP server for credential capture.,Social Engineering,Credential harvesting,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -t target_profile,Generate wordlist for a specific target profile.,Social Engineering,Password profiling,"[""-t""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 2 -t twitter,Clone Twitter login page for credential harvesting.,Social Engineering,Phishing attack,"[""-t"",""-a"",""-t""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 1 -f fake.pdf,Send spear-phishing email with a malicious PDF.,Social Engineering,Spear-phishing,"[""-t"",""-a"",""-f""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --run-transform ip_to_domain,Map IP addresses to associated domains.,Social Engineering,Network reconnaissance,"[""--run-transform""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --dnsmasq,Use dnsmasq for DNS spoofing in phishing.,Social Engineering,Wi-Fi phishing,"[""-i"",""--dnsmasq""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use auxiliary/server/webdav',Set up a fake WebDAV server for attacks.,Social Engineering,Credential harvesting,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -n,Generate numeric-only wordlists for PINs.,Social Engineering,Password profiling,"[""-n""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 3 -f qrcode.jpg,Save QR code for phishing to a JPEG file.,Social Engineering,QR code phishing,"[""-t"",""-a"",""-f""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 4 -o autorun.inf,Create infectious media with a custom autorun file.,Social Engineering,Infectious media attack,"[""-t"",""-a"",""-o""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
maltego,maltego --export pdf,Export Maltego graph to a PDF report.,Social Engineering,OSINT reporting,"[""--export""]",Linux,https://www.maltego.com/,
wifiphisher,wifiphisher -i wlan0 --phishpage custom.html,Use a custom phishing page for Wi-Fi attacks.,Social Engineering,Wi-Fi phishing,"[""-i"",""--phishpage""]",Linux,https://wifiphisher.org/,
metasploit,msfconsole -x 'use auxiliary/server/ntlm_capture',Capture NTLM credentials via a fake server.,Social Engineering,Credential harvesting,"[""-x""]",Linux,https://www.metasploit.com/,
cupp,cupp -c,Generate wordlists with special characters.,Social Engineering,Password profiling,"[""-c""]",Linux,https://github.com/Mebus/cupp,
setoolkit,setoolkit -t 1 -a 2 -u http://example.com,Set up credential harvesting with a custom URL.,Social Engineering,Phishing attack,"[""-t"",""-a"",""-u""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
setoolkit,setoolkit -t 1 -a 5 -t smtp,Send mass phishing emails via SMTP server.,Social Engineering,Mass phishing,"[""-t"",""-a"",""-t""]",Linux,https://www.trustedsec.com/tools/social-engineer-toolkit-set/,
gdb,gdb ./binary,Launch GDB to debug a binary.,Reverse Engineering,Binary debugging,[],Linux,https://www.gnu.org/software/gdb/documentation/,
gdb,gdb -q ./binary -x script.gdb,Run GDB with a script for automated debugging.,Reverse Engineering,Automated debugging,"[""-q"",""-x""]",Linux,https://www.gnu.org/software/gdb/documentation/,
radare2,r2 ./binary,Open a binary in Radare2 for analysis.,Reverse Engineering,Binary analysis,[],Linux,https://rada.re/r/,
radare2,r2 -AA ./binary,Perform full analysis of a binary in Radare2.,Reverse Engineering,Comprehensive binary analysis,"[""-AA""]",Linux,https://rada.re/r/,
binwalk,binwalk -e firmware.bin,Extract embedded files and firmware components.,Reverse Engineering,Firmware analysis,"[""-e""]",Linux,https://github.com/ReFirmLabs/binwalk,
binwalk,binwalk --signature firmware.bin,Analyze firmware for embedded signatures.,Reverse Engineering,Firmware analysis,"[""--signature""]",Linux,https://github.com/ReFirmLabs/binwalk,
ghidra,ghidra,Launch Ghidra for reverse engineering and decompilation.,Reverse Engineering,Binary decompilation,[],Linux,https://ghidra-sre.org/,
ghidra,ghidra -import binary.elf,Import a binary into Ghidra for analysis.,Reverse Engineering,Binary analysis,"[""-import""]",Linux,https://ghidra-sre.org/,
objdump,objdump -d binary.elf,Disassemble a binary to view assembly code.,Reverse Engineering,Binary disassembly,"[""-d""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
objdump,objdump -t binary.elf,Display symbol table of a binary.,Reverse Engineering,Symbol analysis,"[""-t""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
strings,strings binary > output.txt,Extract printable strings from a binary.,Reverse Engineering,String extraction,[],Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
strings,strings -n 8 binary,Extract strings with a minimum length of 8 characters.,Reverse Engineering,String extraction,"[""-n""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
ida-free,ida64 binary.elf,Launch IDA Free to analyze a binary.,Reverse Engineering,Binary analysis,[],Linux,https://hex-rays.com/ida-free/,
ida-free,ida64 -B binary.elf,Run IDA Free in batch mode for automated analysis.,Reverse Engineering,Automated binary analysis,"[""-B""]",Linux,https://hex-rays.com/ida-free/,
ltrace,ltrace ./binary,Trace library calls made by a binary.,Reverse Engineering,Library call tracing,[],Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
ltrace,ltrace -o output.txt ./binary,Save library call traces to a file.,Reverse Engineering,Library call tracing,"[""-o""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
strace,strace ./binary,Trace system calls made by a binary.,Reverse Engineering,System call tracing,[],Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
strace,strace -o trace.txt ./binary,Save system call traces to a file.,Reverse Engineering,System call tracing,"[""-o""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
readelf,readelf -h binary.elf,Display ELF header information of a binary.,Reverse Engineering,ELF analysis,"[""-h""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
readelf,readelf -S binary.elf,Display section headers of an ELF binary.,Reverse Engineering,ELF analysis,"[""-S""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
gdb,gdb --args ./binary arg1,Launch GDB with arguments for a binary.,Reverse Engineering,Binary debugging,"[""--args""]",Linux,https://www.gnu.org/software/gdb/documentation/,
gdb,gdb -c core ./binary,Analyze a core dump with GDB.,Reverse Engineering,Core dump analysis,"[""-c""]",Linux,https://www.gnu.org/software/gdb/documentation/,
radare2,r2 -d ./binary,Debug a binary in Radare2.,Reverse Engineering,Binary debugging,"[""-d""]",Linux,https://rada.re/r/,
radare2,r2 -w ./binary,Open a binary in write mode for patching.,Reverse Engineering,Binary patching,"[""-w""]",Linux,https://rada.re/r/,
binwalk,binwalk -M firmware.bin,Perform recursive analysis of firmware.,Reverse Engineering,Firmware analysis,"[""-M""]",Linux,https://github.com/ReFirmLabs/binwalk,
binwalk,binwalk -y filesystem firmware.bin,Extract filesystem from firmware.,Reverse Engineering,Firmware analysis,"[""-y""]",Linux,https://github.com/ReFirmLabs/binwalk,
ghidra,ghidra -script script.py,Run a Ghidra script for automated analysis.,Reverse Engineering,Automated binary analysis,"[""-script""]",Linux,https://ghidra-sre.org/,
ghidra,ghidra -export binary.elf output.asm,Export decompiled code from Ghidra.,Reverse Engineering,Code export,"[""-export""]",Linux,https://ghidra-sre.org/,
objdump,objdump -M intel -d binary.elf,Disassemble a binary in Intel syntax.,Reverse Engineering,Binary disassembly,"[""-M"",""-d""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
objdump,objdump -s binary.elf,Display full contents of binary sections.,Reverse Engineering,Section analysis,"[""-s""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
strings,strings -a binary,"Extract all strings from a binary, including non-sectioned.",Reverse Engineering,String extraction,"[""-a""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
strings,strings -t x binary,Extract strings with their hexadecimal offsets.,Reverse Engineering,String extraction,"[""-t""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
ida-free,ida64 -A binary.elf,Run IDA Free in automated mode.,Reverse Engineering,Automated binary analysis,"[""-A""]",Linux,https://hex-rays.com/ida-free/,
ida-free,ida64 -S script.idc binary.elf,Run an IDC script in IDA Free.,Reverse Engineering,Scripted analysis,"[""-S""]",Linux,https://hex-rays.com/ida-free/,
ltrace,ltrace -f ./binary,Trace library calls with child processes.,Reverse Engineering,Library call tracing,"[""-f""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
ltrace,ltrace -S ./binary,Trace system calls along with library calls.,Reverse Engineering,System call tracing,"[""-S""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
strace,strace -f ./binary,Trace system calls with child processes.,Reverse Engineering,System call tracing,"[""-f""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
strace,strace -e open ./binary,Trace only open system calls.,Reverse Engineering,System call tracing,"[""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
readelf,readelf -s binary.elf,Display symbol table entries of an ELF binary.,Reverse Engineering,Symbol analysis,"[""-s""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
readelf,readelf -r binary.elf,Display relocation entries of an ELF binary.,Reverse Engineering,Relocation analysis,"[""-r""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
gdb,gdb --batch -x commands.gdb ./binary,Run GDB in batch mode with a command file.,Reverse Engineering,Automated debugging,"[""--batch"",""-x""]",Linux,https://www.gnu.org/software/gdb/documentation/,
gdb,gdb -p 1234,Attach GDB to a running process by PID.,Reverse Engineering,Process debugging,"[""-p""]",Linux,https://www.gnu.org/software/gdb/documentation/,
radare2,r2 -c 'aaa' ./binary,Run analysis commands in Radare2 non-interactively.,Reverse Engineering,Automated binary analysis,"[""-c""]",Linux,https://rada.re/r/,
radare2,r2 -i script.r2 ./binary,Execute a Radare2 script for analysis.,Reverse Engineering,Scripted analysis,"[""-i""]",Linux,https://rada.re/r/,
binwalk,binwalk -B firmware.bin,Extract binary blobs from firmware.,Reverse Engineering,Firmware analysis,"[""-B""]",Linux,https://github.com/ReFirmLabs/binwalk,
binwalk,binwalk -I firmware.bin,Identify and extract instruction sets from firmware.,Reverse Engineering,Firmware analysis,"[""-I""]",Linux,https://github.com/ReFirmLabs/binwalk,
ghidra,ghidra -analyzeHeadless ./project binary.elf,Run Ghidra in headless mode for analysis.,Reverse Engineering,Automated binary analysis,"[""-analyzeHeadless""]",Linux,https://ghidra-sre.org/,
ghidra,ghidra -delete project,Delete a Ghidra project.,Reverse Engineering,Project management,"[""-delete""]",Linux,https://ghidra-sre.org/,
objdump,objdump -h binary.elf,Display section headers of a binary.,Reverse Engineering,Section analysis,"[""-h""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
objdump,objdump -r binary.elf,Display relocation entries of a binary.,Reverse Engineering,Relocation analysis,"[""-r""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
strings,strings -e s binary,Extract single-byte encoded strings.,Reverse Engineering,String extraction,"[""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
strings,strings -tx binary > offsets.txt,Extract strings with their offsets in a file.,Reverse Engineering,String extraction,"[""-tx""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
ida-free,ida64 -L log.txt binary.elf,Log IDA Free analysis to a file.,Reverse Engineering,Analysis logging,"[""-L""]",Linux,https://hex-rays.com/ida-free/,
ida-free,ida64 -P binary.elf,Run IDA Free in portable mode.,Reverse Engineering,Portable analysis,"[""-P""]",Linux,https://hex-rays.com/ida-free/,
ltrace,ltrace -c ./binary,Count library calls made by a binary.,Reverse Engineering,Library call tracing,"[""-c""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
ltrace,ltrace -i ./binary,Trace library calls with instruction pointers.,Reverse Engineering,Library call tracing,"[""-i""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
strace,strace -t ./binary,Trace system calls with timestamps.,Reverse Engineering,System call tracing,"[""-t""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
strace,strace -p 1234,Attach strace to a running process by PID.,Reverse Engineering,Process tracing,"[""-p""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
readelf,readelf -d binary.elf,Display dynamic section of an ELF binary.,Reverse Engineering,Dynamic analysis,"[""-d""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
readelf,readelf -n binary.elf,Display notes section of an ELF binary.,Reverse Engineering,Notes analysis,"[""-n""]",Linux,https://www.man7.org/linux/man-pages/man1/readelf.1.html,
gdb,gdb --eval-command='break main' ./binary,Set a breakpoint at main in GDB.,Reverse Engineering,Binary debugging,"[""--eval-command""]",Linux,https://www.gnu.org/software/gdb/documentation/,
gdb,gdb --eval-command='run' ./binary,Run a binary in GDB automatically.,Reverse Engineering,Binary debugging,"[""--eval-command""]",Linux,https://www.gnu.org/software/gdb/documentation/,
radare2,r2 -e asm.syntax=intel ./binary,Use Intel syntax for disassembly in Radare2.,Reverse Engineering,Binary disassembly,"[""-e""]",Linux,https://rada.re/r/,
radare2,r2 -c 'pdf @ main' ./binary,Disassemble the main function in Radare2.,Reverse Engineering,Function disassembly,"[""-c""]",Linux,https://rada.re/r/,
binwalk,binwalk -A firmware.bin,Analyze firmware for architecture-specific code.,Reverse Engineering,Firmware analysis,"[""-A""]",Linux,https://github.com/ReFirmLabs/binwalk,
binwalk,binwalk -D firmware.bin,Extract data segments from firmware.,Reverse Engineering,Firmware analysis,"[""-D""]",Linux,https://github.com/ReFirmLabs/binwalk,
ghidra,ghidra -scriptPath scripts/,Set a custom script path for Ghidra analysis.,Reverse Engineering,Scripted analysis,"[""-scriptPath""]",Linux,https://ghidra-sre.org/,
ghidra,ghidra -noanalysis binary.elf,Import a binary without automatic analysis.,Reverse Engineering,Manual binary analysis,"[""-noanalysis""]",Linux,https://ghidra-sre.org/,
objdump,objdump -D binary.elf,Disassemble all sections of a binary.,Reverse Engineering,Comprehensive disassembly,"[""-D""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
objdump,objdump -j .text binary.elf,Disassemble only the .text section.,Reverse Engineering,Section disassembly,"[""-j""]",Linux,https://www.man7.org/linux/man-pages/man1/objdump.1.html,
strings,strings -d binary,Extract strings from data sections only.,Reverse Engineering,String extraction,"[""-d""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
strings,strings -e l binary,Extract little-endian encoded strings.,Reverse Engineering,String extraction,"[""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/strings.1.html,
ida-free,ida64 -T ELF binary.elf,Specify ELF file type for IDA Free analysis.,Reverse Engineering,Binary analysis,"[""-T""]",Linux,https://hex-rays.com/ida-free/,
ida-free,ida64 -C binary.elf,Run IDA Free with a clean database.,Reverse Engineering,Clean analysis,"[""-C""]",Linux,https://hex-rays.com/ida-free/,
ltrace,ltrace -e malloc ./binary,Trace only malloc library calls.,Reverse Engineering,Library call tracing,"[""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
ltrace,ltrace -p 1234,Attach ltrace to a running process by PID.,Reverse Engineering,Process tracing,"[""-p""]",Linux,https://www.man7.org/linux/man-pages/man1/ltrace.1.html,
strace,strace -c ./binary,Count system calls made by a binary.,Reverse Engineering,System call tracing,"[""-c""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
strace,strace -e signal ./binary,Trace only signal-related system calls.,Reverse Engineering,System call tracing,"[""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/strace.1.html,
